EarthMarsRelay2.Mars.RadPer   EarthMarsRelay2.Earth.RadPer   
359411209.6158467             310269363.8070996              
358844233.5977525             306019259.7960576              
358250495.4311961             301609131.1765741              
357632076.2225065             297057170.4575564              
356991049.7956819             292376102.589941               
356329479.865787              287572179.9510431              
355649417.3409436             282649813.5128808              
354952897.7635888             277612092.8761764              
354241938.9006349             272459633.9033908              
353518538.4915782             267192112.4065329              
352784672.1626053             261812932.5800982              
352042291.5134919             256334437.8676983              
351293322.3816015             250778782.9356312              
350539663.2847286             245168087.2845367              
349783184.0426348             239515724.3128152              
349025724.5793686             233829542.7680832              
348269093.9083437             228115583.5275736              
347515069.300081              222376606.0902793              
346765395.6308244             216610772.424645               
346021784.9100819             210817345.2232507              
345285915.9855912             205005215.2474765              
344559434.4242462             199194453.7745816              
343843952.5660521             193409750.0628642              
343141049.7472244             187670569.2528928              
342452272.6877497             181988325.4438935              
341779136.0379293             176370372.2793242              
341123123.0784655             170821250.8675434              
340485686.5681716             165339199.6086914              
339868249.7332567             159917060.0063027              
339272207.3913673             154554927.0281695              
338698927.2033671             149267180.5429617              
338149751.0446943             144075164.232214               
337625996.4876902             138998532.2417989              
337128958.3849209             134050648.7225732              
336659910.5423285             129239119.1717379              
336220107.4696882             124568251.3424924              
335810786.193485              120037678.8588454              
335433168.1156332             115638181.7145875              
335088460.898052              111358791.1424975              
334777860.3504138             107203138.0569437              
334502552.2939185             103186642.0365833              
334263714.3701656             99324808.28177699              
334062517.7584681             95628926.37159854              
333900128.7596308             92105467.96992403              
333777710.1965438             88756959.55219425              
333696422.574398              85582436.55812611              
333657424.9330848             82574362.02364065              
333661875.3136563             79717391.7875679               
333710930.7472289             77002163.02243982              
333805746.6595966             74434470.33776131              
333947475.5682611             72023982.4872613               
334137264.9301925             69776903.03534433              
334376253.9778078             67695857.98366362              
334665569.3581316             65780234.11227157              
335006319.3653912             64026263.08329039              
335399586.5310369             62426241.1826032               
335846418.3082059             60966612.12552711              
336347815.5610438             59632493.15726189              
336904718.54469               58418819.18980201              
337517990.0408174             57327669.00314675              
338188395.2993891             56359644.45734378              
338916578.4332777             55512644.79862846              
339703034.9234468             54782841.31743654              
340548079.9254928             54164888.00452747              
341451812.1296898             53652054.053791                
342414073.026154              53236649.1221571               
343434401.5731393             52911692.92548247              
344511984.4715075             52674435.53629829              
345645602.522235              52526376.73104369              
346833573.8975429             52469837.33771907              
348073695.597077              52507083.71381913              
349363184.8891776             52640910.21557661              
350698623.1463349             52875071.64263483              
352075905.1489447             53215025.34566184              
353490197.6103606             53669141.5558874               
354935911.3048248             54249570.70892558              
356406691.668871              54970494.91457159              
357895432.9870806             55843163.6659776               
359394321.1395966             56874508.92067311              
360894909.2572777             58069888.57238459              
362388229.3953285             59433806.24260725              
363864941.4409537             60969075.95921626              
365315517.9395314             62677443.35728835              
366730460.4905299             64561977.49797029              
368100540.0855625             66627943.62570374              
369417050.6069841             68879824.15921424              
370672062.1211357             71315501.77661888              
371858659.0353621             73923240.45665053              
372971148.0081123             76685482.31620996              
374005221.8997318             79582771.19241133              
374958068.9827157             82593867.22275829              
375828420.7952839             85695501.56301166              
376616536.9071561             88865725.30695085              
377324129.8364483             92088408.04323991              
377954237.776007              95351395.35193035              
378511056.1397285             98640546.94419606              
378999740.9114341             101936130.4479082              
379426197.2950656             105213731.03191                
379796866.3677986             108447927.7858885              
380118520.6358147             111614230.7151618              
380398076.9785998             114688366.0805205              
380642432.8175834             117646628.1868663              
380858328.7677245             120470992.9661627              
381052238.7664083             123151665.4328021              
381230286.8691135             125680550.3780035              
381398188.6013238             128045896.5966203              
381561213.9353259             130231936.5229219              
381724168.5521165             132220482.1088431              
381891389.9660172             133992735.3779097              
382066755.24218               135529946.003195               
382253697.3422709             136813381.9899282              
382455227.5218354             137826373.5480645              
382673961.6215001             138557248.5352172              
382912148.5053003             138995736.0934314              
383171699.2793676             139127586.4418255              
383454216.2593682             138934119.4777228              
383761020.9399691             138393570.0031342              
384093180.4545516             137482333.9328042              
384451532.2011923             136176026.8438637              
384836706.4573689             134451286.8434707              
385249146.9165347             132290412.8265483              
385689129.1607544             129683204.9550432              
386156777.1409168             126615337.2560138              
386652077.7742956             123061321.6927647              
387174893.7931522             118990661.1396238              
387724974.990898              114371548.9720587              
388301968.0169614             109171861.5635342              
388905424.87065               103361404.0506651              
389534810.2389058             96915710.97027287              
390189507.8152925             89824924.48799524              
390868825.7283729             82109292.36402491              
391572001.1984032             73811643.79165651              
392298204.5323626             64963127.90423527              
393046542.5562181             55587394.69466396              
393816061.5710015             45723594.16072073              
394605749.9105857             35433127.14298943              
395414540.1740098             24804686.40631572              
396241311.1983369             13989820.44569766              
397084889.8305573             3827580.839420014              
397944052.5498763             8832441.292120947              
398817526.9861806             19383187.59541371              
399703993.3755784             29654912.54940532              
400602085.9895338             39331809.69407804              
401510394.5703415             48250290.34539661              
402427465.8019832             56286037.0255914               
403351804.8421873             63345752.03601062              
404281876.9385488             69368618.54075724              
405216109.148996              74320108.99239419              
406152892.1845503             78182337.18476652              
407090582.3901149             80949969.13899469              
408027503.8768307             82635669.82041235              
408961950.8170026             83279854.68232743              
409892189.9100671             82946771.58082785              
410816463.025256              81711323.70177114              
411732990.0238856             79651304.63699377              
412639971.7620953             76842131.88025923              
413535593.2725654             73348587.77864398              
414418027.1224322             69220557.59601077              
415285436.9429825             64501531.78165927              
416135981.1254196             59241752.039878                
416967816.6756877             53504200.41099346              
417779103.2193573             47357464.74482183              
418568007.146111              40865590.31928992              
419332705.8813691             34088620.24357384              
420071392.2702294             27089408.40090573              
420782279.0557718             19940141.61315884              
421463603.4309483             12767914.4337787               
422113631.6415614             6245946.784089581              
422730663.6168281             5901069.349234123              
423313037.6024731             12605799.1032959               
423859134.7696202             20433958.62042262              
424367383.7710769             28535638.43596809              
424836265.2154549             36744578.72299986              
425264316.028443              44988555.20273244              
425650133.6700584             53219688.23855975              
425992380.1763235             61413044.87522036              
426289785.9936013             69576352.52032636              
426541153.5741513             77723535.26519749              
426745360.7019533             85847399.48783378              
426901363.5183751             93924573.16381431              
427008199.2184334             101925645.7239216              
427064988.3893323             109820928.8244447              
427070936.9645051             117582825.6894879              
427025337.7682524             125184503.3531293              
426927571.6282049             132602618.30869                
426777108.0348887             139834105.5324882              
426573505.3297753             146898598.6249052              
426316410.4051135             153807612.1577658              
426005557.901519              160554319.0339846              
425640768.8925794             167123950.4697861              
425221949.0494598             173499605.9988062              
424749086.2822526             179664117.847582               
424222247.8583577             185600815.4419414              
423641577.0008926             191293713.4016821              
423007288.9723283             196733472.9564388              
422319666.6502241             201928751.9260435              
421579055.6031354             206896431.8489823              
420785858.6762272             211642508.238268               
419940530.0975847             216163805.5696782              
419043569.1178029             220454555.5302593              
418095513.1963672             224508195.5988625              
417096930.7487925             228317814.0605861              
416048413.4681358             231877013.3931327              
414950568.2339771             235181747.8464277              
413804008.621148              238235210.0159823              
412609346.0194043             241049178.1166034              
411367180.3738411             243634272.6956954              
410078090.5543468             245994860.5535891              
408742624.3606498             248132306.6125084              
407361288.1678281             250047277.4446782              
405934536.2154712             251740116.1332049              
404462759.5426446             253211442.3005407              
402946274.5698166             254463508.4366649              
401385311.3289714             255501636.9007562              
399780001.3435801             256334437.6557625              
398130365.1621035             256970924.7344258              
396436299.5536611             257417630.9984058              
394697564.3843991             257679103.0323893              
392913769.2069454             257759164.0013438              
391084359.6089854             257661461.453874               
389208603.3866146             257390162.9083561              
387285576.6356959             256951115.8883883              
385314149.8917786             256352353.7979943              
383292974.49853               255602985.4226108              
381220469.4429355             254711035.2272935              
379094808.9700471             253682502.042973               
376913911.3802462             252522290.0060656              
374675429.5212086             251234955.2757179              
372376743.6165856             249824751.0073781              
370014957.2244784             248296233.133914               
367586897.2910953             246656036.6321352              
365089119.455831              244913593.9903                 
362517919.9679478             243079220.4181151              
359869355.7832877             241161859.7238656              
357139274.6083304             239168276.3555946              
354323356.828711              237103913.4263167              
351417171.3707491             234974044.8904982              
348416247.5562279             232783904.2414212              
345316164.8724649             230538544.3744138              
342112662.2366031             228244342.8457642              
338801767.7287083             225911478.9773352              
335379948.8482125             223552654.0398628              
331844282.0728498             221179785.5863062              
328192638.8573159             218803130.271013               
324423883.2367893             216431779.9223543              
320538073.9987556             214074426.3041401              
316536662.1322716             211739819.6711633              
312422672.2133521             209436511.9643116              
308200854.8634924             207172897.6862938              
303877796.7823151             204959449.0534634              
299461975.4257792             202810313.8422313              
294963747.3946646             200740082.1274996              
290395263.0735172             198761350.9730337              
285770304.8411163             196884992.4934982              
281104051.8340338             195120508.6503362              
276412780.1553029             193476159.767059               
271713512.8283449             191958948.5022674              
267023637.989159              190574381.6461688              
262360516.217608              189326939.0763879              
257741098.2429601             188221956.5718705              
253181572.5482065             187265543.0660633              
248697058.9759828             186462298.3461267              
244301359.8581296             185814939.7240355              
240006775.1040246             185324879.3452708              
235823982.7215502             184992528.7253257              
231761981.9175612             184817517.4578297              
227828092.5648695             184798933.3006349              
224028002.5721376             184935554.4707246              
220365853.5294047             185225888.5800195              
216844354.7823224             185667752.6986542              
213464916.6022158             186258452.2298615              
210227794.1361623             186995575.9427509              
207132235.122864              187877069.4568335              
204176625.7690501             188901124.283055               
201358630.5580224             190066421.0936386              
198675323.0123076             191372449.4197604              
196123305.4881143             192819538.6545325              
193698816.9466253             194408073.3141573              
191397828.3751371             196135957.0499018              
189216126.0864411             197997509.7634686              
187149383.4557326             199986952.7701143              
185193221.8659378             202100379.6889625              
183343261.7758739             204334857.9935758              
181595164.8974169             206688154.856585               
179944668.4776293             209159705.3683637              
178387612.6504555             211751048.1221526              
176919961.7660034             214464230.6514205              
175537820.5343347             217298471.0397685              
174237445.7407156             220247220.2630194              
173015254.2090307             223300527.4720837              
171867827.610536              226450001.9678059              
170791914.6410433             229689465.482467               
169784431.0201075             233013648.1477783              
168842457.7039204             236418910.3343194              
167963237.6468977             239905428.8072821              
167144171.3981194             243476037.9056875              
166382811.7749311             247130961.6359152              
165676857.81826               250864125.1327888              
165024148.2019145             254664038.2314038              
164422654.2393604             258518363.871088               
163870472.6080532             262417045.5183741              
163365817.8902853             266351712.7374003              
162907015.0122749             270315050.9824202              
162492491.6481796             274303362.9040794              
162120770.6433287             278318804.6614445              
161790462.5001024             282363587.5421309              
161500257.961426              286433101.4493496              
161248920.718905              290516531.7997166              
161035280.2659653             294600650.4108053              
160858224.9093447             298673096.4543707              
160716694.9485537             302723406.3778412              
160609676.030524              306742261.2774798              
160536192.684385              310722274.9411876              
160495302.0376513             314662039.8620187              
160486087.7119916             318565038.6881527              
